x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
A1099,A1,46.0,A0,A0,A0,A0,A0,A1,A0,A2,105.2,4822.85,A1
A1100,A1,52.0,A0,A0,A0,A1,A0,A0,A1,A0,108.1,5839.3,A0
A1101,A1,15.0,A0,A0,A2,A0,A1,A0,A1,A3,86.2,1270.2,A1
A1102,A0,39.0,A0,A0,A2,A0,A1,A0,A0,A0,73.15,2730.85,A0
A1103,A1,27.0,A0,A2,A1,A2,A2,A2,A1,A3,24.5,761.95,A0
A1104,A0,,A1,A1,A0,A0,A0,A0,A0,A2,41.05,2452.7,A1
A1105,A0,8.0,A0,A1,A0,A0,A1,A0,A0,A3,66.65,520.95,A0
A1106,A1,13.0,A1,A1,A0,A0,A1,A0,A0,A3,31.05,347.25,A1
A1107,A1,5.0,A1,A1,A0,A0,A0,A0,A0,A0,50.95,229.4,A0
A1108,A0,27.0,A0,A0,A2,A1,A0,A1,A0,A2,100.5,2673.45,A0
A1109,A0,35.0,A0,A1,A0,A0,A1,A1,A0,A3,69.0,2441.7,A0
A1110,A0,53.0,A0,A1,A2,A1,A0,A1,A0,A1,78.75,3942.45,A0
A1111,A1,27.0,A0,A0,A0,A1,A0,A1,A0,A2,110.5,2857.6,A0
A1112,A1,1.0,A0,A2,A1,A2,A2,A0,A1,A1,25.4,25.4,A0
A1113,A0,49.0,A0,A0,A0,A1,A0,A1,A0,A0,109.2,5290.45,A0
A1114,A0,15.0,A0,A0,A2,A0,A0,A0,A0,A2,85.6,1345.55,A1
A1115,A1,51.0,A0,A0,A2,A1,A0,A1,A0,A3,98.85,4947.55,A0
A1116,A1,16.0,A1,A1,A2,A0,A1,A0,A0,A3,38.9,664.4,A0
A1117,A1,1.0,A0,A2,A1,A2,A2,,A1,A1,20.4,20.4,A0
A1118,A0,9.0,A1,A1,A2,A1,A0,A1,A1,A1,50.8,463.6,A0
A1119,A1,3.0,A0,A1,A0,A0,A0,A2,A1,A1,71.1,213.35,A0
A1120,A1,48.0,A1,A1,A0,A0,A1,A0,A0,A3,44.8,2104.55,A0
A1121,A1,22.0,A0,A2,A1,A2,A2,,A1,A2,20.75,452.35,A0
A1122,A1,4.0,A0,A0,A2,A0,A1,A0,A0,A0,70.05,266.9,A1
A1123,A0,54.0,A0,A0,A0,A0,A0,A2,A0,A0,108.0,5760.65,A0
A1124,A0,7.0,A0,A0,A2,A0,A1,A0,A1,A2,69.15,488.65,A0
A1125,A0,33.0,A1,A1,A2,,A1,A1,A1,A0,34.05,1113.95,A0
A1126,A1,2.0,A0,A0,A2,A0,A0,A0,A0,A3,85.7,169.8,A1
A1127,A0,45.0,A0,A0,A0,A0,A1,A0,A1,A2,81.4,3775.85,A0
A1128,A1,29.0,A0,A0,A2,,A1,A0,A0,A0,76.0,2215.25,A0
A1129,A1,33.0,A0,A0,A0,A0,A1,A1,A0,A2,79.95,2684.85,A0
A1130,A1,42.0,A0,A1,A0,A1,A0,A1,A1,A0,73.9,3160.55,A1
A1131,A0,54.0,A0,A0,A0,A0,A0,A0,A0,A3,90.05,4931.8,A0
A1132,A1,56.0,A0,A1,A0,A0,A0,A1,A1,A2,68.75,3815.4,A0
A1133,A0,40.0,A0,A0,A0,A1,A0,A0,A0,A0,104.5,4036.85,A1
A1134,A1,8.0,A0,A0,A2,A0,A1,A0,A0,A3,87.05,762.1,A1
A1135,A1,36.0,A0,A1,A2,A0,A1,A1,A1,A1,54.45,1893.5,A0
A1136,A0,55.0,A1,A1,A0,A0,A1,A0,A0,A3,44.85,2479.05,A0
A1137,A1,14.0,A0,A2,A1,A2,A2,A2,A0,A1,19.7,263.65,A0
A1138,A0,30.0,A0,A0,A2,A0,A0,A0,A0,A3,90.25,2755.35,A1
A1139,A1,3.0,A0,A2,A1,A2,A2,A2,A1,A1,19.1,52.0,A0
A1140,A0,1.0,A0,A0,A2,A0,A1,A0,A0,A3,81.7,81.7,A1
A1141,A1,24.0,A1,A1,A0,A1,A0,A2,A0,A1,52.5,1208.15,A0
A1142,A1,3.0,A0,A0,A0,A0,A1,A0,A0,A2,74.6,239.05,A0
A1143,A1,58.0,A0,A0,A0,A1,A0,A2,A0,A2,109.45,6144.55,A1
A1144,A0,53.0,A1,A1,A0,A1,A0,A0,A0,A3,54.45,2854.55,A1
A1145,A0,55.0,A0,A0,A2,A0,A1,A0,A0,A3,74.0,4052.4,A0
A1146,A1,37.0,A0,A1,A2,A1,A1,A1,A1,A0,68.1,2479.25,A0
A1147,A0,56.0,A0,A2,A1,A2,A2,A1,A0,A1,24.45,1431.65,A0
A1148,A1,72.0,A0,A1,A0,A0,A1,A2,A1,A2,59.75,4265.0,A0
A1149,A0,1.0,A0,A1,A2,A0,A1,A0,A1,A1,44.4,44.4,A1
A1150,A0,63.0,A0,A0,A2,A1,A0,A2,A1,A3,102.6,6296.75,A0
A1151,A0,25.0,A0,A0,A2,A0,A0,A0,A0,A2,94.7,2362.1,A1
A1152,A0,64.0,A0,A2,A1,A2,A2,A2,A0,A2,24.4,1548.65,A0
A1153,A0,4.0,A0,A2,A1,A2,A2,A0,A1,A1,18.85,84.2,A0
A1154,A0,14.0,A0,A0,A2,A0,A1,A0,A0,A3,89.95,1178.4,A1
A1155,A0,35.0,A0,A0,A2,A0,A1,,A1,A0,75.35,2636.05,A1
A1156,A1,71.0,A0,A1,A0,A1,A1,A2,A1,A0,64.05,4492.9,A0
A1157,A1,52.0,A1,A1,A0,A1,A0,A2,A1,A0,66.25,3330.1,A0
A1158,A0,72.0,A0,A0,A0,A1,A0,A2,A1,A2,109.2,7878.3,A0
A1159,A1,17.0,A0,A2,A1,A2,A2,A1,A1,A2,19.9,323.15,A0
A1160,A1,52.0,A0,A2,A1,A2,A2,A2,A0,A2,25.05,1270.25,A0
A1161,A1,54.0,A0,A1,A2,A0,A0,A1,A0,A0,70.15,3715.65,A1
A1162,A1,53.0,A0,A2,A1,A2,A2,A2,A1,A0,19.85,1049.6,A0
A1163,A0,2.0,A0,A0,A2,A1,A0,A0,A0,A3,85.85,167.3,A1
A1164,A1,71.0,A0,A0,A0,A1,A1,A2,A0,A3,99.4,7168.25,A0
A1165,A0,68.0,A0,A2,A1,A2,A2,A2,A1,A1,24.55,1657.4,A0
A1166,A0,7.0,A1,A1,A2,A1,A1,A1,A1,A1,35.3,264.8,A0
A1167,A1,20.0,A0,A0,A2,A1,A0,A0,A0,A2,95.5,1916.2,A0
A1168,A1,62.0,A0,A0,A2,A1,A0,A1,A0,A3,100.15,6413.65,A1
A1169,A0,21.0,A0,A0,A2,A0,A1,A0,A1,A3,80.35,1747.2,A0
A1170,A1,35.0,A0,A0,A2,A1,A0,A0,A0,A3,106.9,3756.45,A0
A1171,A0,51.0,A0,A0,A2,A0,A0,A0,A1,A2,83.4,4149.45,A0
A1172,A0,7.0,A0,A0,A2,A0,A1,A0,A0,A3,75.4,533.05,A0
A1173,A1,68.0,A0,A1,A0,A1,A0,A2,A0,A3,88.15,6148.45,A0
A1174,A0,,A0,A1,A2,A0,A1,A0,A0,A0,64.4,195.65,A0
A1175,A1,40.0,A0,A1,A0,A0,A1,A1,A1,A2,63.9,2635.0,A0
A1176,A1,30.0,A0,A1,A2,A1,A0,A1,A0,A0,79.3,2427.1,A0
A1177,A1,57.0,A0,A1,A0,A0,A1,A2,A0,A0,70.35,4124.65,A0
A1178,A1,11.0,A0,A0,A2,A1,A1,A0,A0,A3,89.2,990.3,A0
A1179,A1,1.0,A0,A1,A2,A0,A0,A0,A0,A3,56.25,56.25,A1
A1180,A1,71.0,A0,A0,A2,A0,A0,A2,A0,A2,93.7,6585.35,A1
A1181,A0,2.0,A0,A1,A2,A1,A1,A0,A1,A3,53.45,119.5,A0
A1182,A0,71.0,A0,A0,A0,A1,A0,A0,A0,A3,107.5,7713.55,A0
A1183,A0,5.0,A1,A1,A2,A1,A1,A0,A1,A1,40.0,223.45,A1
A1184,A0,60.0,A0,A2,A1,A2,A2,A2,A1,A1,19.95,1189.9,A0
A1185,A0,19.0,A1,A1,A0,A0,A1,,A0,A1,34.95,610.2,A0
A1186,A1,71.0,A0,A0,A0,A1,A0,A2,A1,A2,114.6,8100.25,A0
A1187,A1,66.0,A0,A0,A2,A1,A0,A1,A0,A0,105.95,6975.25,A1
A1188,A1,59.0,A0,A0,A0,A1,A0,,A0,A2,99.45,5623.7,A0
A1189,A0,17.0,A0,A1,A0,A1,A1,A0,A0,A1,66.7,1077.05,A0
A1190,A0,67.0,A0,A0,A2,A0,A0,A0,A0,A0,94.65,6079.0,A0
A1191,A1,3.0,A0,A2,A1,A2,A2,A0,A0,A1,20.0,61.7,A0
A1192,A1,29.0,A1,A1,A2,A0,A1,A0,A0,A0,25.1,712.85,A1
A1193,A0,1.0,A0,A1,A2,A0,A1,A0,A1,A1,45.6,45.6,A0
A1194,A0,11.0,A0,A0,A2,A0,A0,A0,A0,A3,78.5,874.2,A0
A1195,A0,72.0,A0,A0,A0,A1,A0,A2,A1,A0,114.45,8375.05,A0
A1196,A1,25.0,A0,A1,A0,A0,A0,,A0,A2,65.8,1679.65,A0
A1197,A1,38.0,A0,A2,A1,A2,A2,A1,A1,A1,20.05,678.2,A0
A1198,A1,70.0,A0,A0,A0,A0,A0,A1,A1,A3,98.9,6838.6,A0
A1199,A0,1.0,A0,A1,A2,A0,A1,,A1,A0,44.7,44.7,A1
A1200,A0,13.0,A0,A2,A1,A2,A2,,A1,A1,19.95,243.65,A0
A1201,A0,65.0,A0,A2,A1,A2,A2,A2,A1,A1,19.9,1292.6,A0
A1202,A0,15.0,A0,A0,A0,A0,A0,,A1,A3,95.7,1451.1,A0
A1203,A0,4.0,A0,A0,A2,A0,A1,A0,A1,A3,75.35,273.4,A0
A1204,A0,42.0,A0,A2,A1,A2,A2,A1,A1,A1,20.25,854.9,A0
A1205,A0,1.0,A0,A1,A2,A0,A1,A0,A0,A3,44.8,44.8,A0
A1206,A0,54.0,A0,A0,A2,A1,A1,A0,A1,A1,89.8,4667.0,A0
A1207,A1,1.0,A0,A1,A0,A0,A1,A0,A1,A3,49.95,49.95,A0
A1208,A0,72.0,A0,A0,A0,A1,A0,A2,A0,A0,114.1,8086.4,A0
A1209,A0,22.0,A0,A0,A2,A0,A1,A0,A0,A2,90.5,1910.6,A1
A1210,A0,72.0,A1,A1,A0,A1,A0,A2,A0,A0,64.95,4546.0,A0
A1211,A1,,A0,A0,A0,A1,A0,A0,A0,A0,109.9,669.45,A1
A1212,A0,52.0,A0,A1,A0,A1,A0,A2,A0,A1,89.25,4652.4,A0
A1213,A0,57.0,A0,A1,A2,A1,A0,A2,A0,A2,74.35,4317.35,A0
A1214,A1,23.0,A0,A1,A2,A1,A0,A1,A0,A3,78.55,1843.05,A0
A1215,A0,72.0,A0,A1,A0,A1,A0,A2,A0,A2,88.6,6201.95,A0
A1216,A1,20.0,A0,A2,A1,A2,A2,A0,A1,A1,20.05,406.05,A0
A1217,A1,1.0,A0,A1,A2,A0,A1,A0,A0,A0,55.0,55.0,A1
A1218,A0,3.0,A0,A0,A2,A0,A1,A0,A0,A3,79.9,260.9,A1
A1219,A1,64.0,A0,A1,A0,A0,A1,,A0,A2,53.85,3399.85,A0
A1220,A0,19.0,A0,A0,A2,A1,A1,A0,A0,A3,84.75,1651.95,A0
A1221,A0,71.0,A0,A0,A0,A1,A0,A1,A0,A2,113.15,7953.25,A0
A1222,A0,1.0,A0,A2,A1,A2,A2,A0,A1,A1,20.0,20.0,A1
A1223,A0,17.0,A0,A1,A0,A1,A0,,A1,A3,80.85,1445.95,A0
A1224,A1,57.0,A0,A0,A2,A1,A0,A2,A1,A0,101.3,5779.6,A0
A1225,A0,25.0,A0,A0,A2,A1,A0,,A0,A3,105.5,2686.05,A0
A1226,A0,0.0,A0,A2,A1,A2,A2,A2,A1,A1,20.25,0.0,A0
A1227,A0,1.0,A0,A0,A2,A0,A1,A0,A0,A3,71.65,71.65,A1
A1228,A1,2.0,A0,A2,A1,A2,A2,A0,A0,A1,20.0,40.9,A0
A1229,A1,49.0,A0,A2,A1,A2,A2,,A1,A2,20.45,900.9,A0
A1230,A0,1.0,A0,A0,A2,A0,A0,A0,A1,A3,80.5,80.5,A1
A1231,A1,39.0,A0,A2,A1,A2,A2,A1,A0,A1,24.2,914.6,A0
A1232,A0,63.0,A0,A1,A2,A1,A0,A2,A1,A1,75.7,4676.7,A0
A1233,A0,46.0,A0,A2,A1,A2,A2,A0,A1,A3,19.6,851.2,A0
A1234,A0,54.0,A0,A1,A0,A0,A1,A2,A0,A0,65.65,3566.7,A0
A1235,A1,25.0,A0,A1,A0,A1,A1,A0,A0,A2,78.35,1837.9,A0
A1236,A0,34.0,A0,A0,A2,A0,A0,A1,A0,A2,78.95,2647.2,A0
A1237,A1,72.0,A0,A2,A1,A2,A2,,A1,A0,24.25,1784.5,A0
A1238,A1,3.0,A1,A1,A2,A0,A1,A0,A1,A0,29.7,91.7,A1
A1239,A1,6.0,A0,A0,A0,A0,A0,,A0,A1,85.95,514.6,A0
A1240,A0,10.0,A0,A0,A2,A0,A0,A0,A0,A0,95.1,865.1,A0
A1241,A0,59.0,A0,A1,A0,A1,A0,A1,A1,A0,76.75,4541.9,A0
A1242,A0,71.0,A0,A0,A0,A0,A0,,A1,A2,100.55,7113.75,A0
A1243,A0,49.0,A0,A2,A1,A2,A2,A2,A0,A0,19.9,1022.6,A0
A1244,A0,62.0,A0,A2,A1,A2,A2,A2,A0,A0,20.05,1201.65,A0
A1245,A0,12.0,A1,A1,A0,A0,A1,A0,A0,A2,50.95,605.75,A0
A1246,A1,29.0,A1,A1,A0,A0,A1,A0,A0,A3,30.6,856.35,A1
A1247,A1,68.0,A0,A0,A0,A1,A0,A2,A1,A2,114.9,7843.55,A0
A1248,A0,45.0,A0,A1,A2,A1,A0,A0,A0,A3,75.95,3273.8,A0
A1249,A0,71.0,A0,A2,A1,A2,A2,A1,A1,A3,20.85,1539.75,A0
A1250,A1,72.0,A0,A0,A0,A0,A1,A2,A0,A2,95.9,6954.15,A0
A1251,A0,29.0,A0,A0,A0,A0,A1,A0,A0,A2,80.15,2265.25,A1
A1252,A1,20.0,A0,A0,A2,A1,A1,,A1,A3,90.8,1951.0,A1
A1253,A1,11.0,A0,A0,A2,A0,A1,A0,A0,A2,79.0,929.3,A0
A1254,A0,2.0,A0,A2,A1,A2,A2,A0,A1,A3,19.2,37.2,A0
A1255,A1,5.0,A0,A0,A2,A0,A1,A0,A0,A3,85.2,474.8,A1
A1256,A0,8.0,A0,A0,A2,,A1,A0,A0,A0,69.95,562.7,A0
A1257,A1,72.0,A0,A0,A0,A1,A0,A2,A0,A2,113.1,8248.5,A0
A1258,A1,63.0,A0,A0,A0,A1,A0,A0,A0,A3,108.75,6871.7,A0
A1259,A1,72.0,A0,A2,A1,A2,A2,A2,A1,A2,24.3,1778.7,A0
A1260,A1,54.0,A0,A2,A1,A2,A2,A2,A1,A0,20.05,1102.4,A0
A1261,A0,6.0,A0,A1,A0,A0,A1,A0,A1,A3,59.45,357.6,A0
A1262,A1,14.0,A0,A0,A2,A0,A0,A0,A0,A2,80.9,1152.8,A0
A1263,A1,16.0,A0,A0,A2,A1,A0,A0,A0,A3,88.45,1422.1,A1
A1264,A1,67.0,A0,A1,A2,A1,A0,A2,A0,A2,69.9,4615.9,A0
A1265,A1,36.0,A0,A2,A1,A2,A2,A1,A0,A2,19.25,679.8,A0
A1266,A0,62.0,A1,A1,A0,A1,A1,A2,A0,A2,43.7,2618.3,A0
A1267,A0,1.0,A0,A1,A2,A0,A1,,A1,A3,44.0,44.0,A0
A1268,A0,16.0,A0,A0,A2,A0,A1,A0,A0,A3,75.4,1189.4,A0
A1269,A0,70.0,A0,A1,A0,A1,A1,A2,A1,A1,79.15,5536.5,A0
A1270,A0,67.0,A1,A1,A2,A0,A0,A2,A1,A0,50.9,3281.65,A0
A1271,A1,7.0,A0,A1,A2,,A1,A0,A1,A1,50.7,350.35,A0
A1272,A0,4.0,A0,A0,A0,A0,A1,A0,A1,A3,78.45,330.05,A1
A1273,A0,9.0,A0,A0,A2,A0,A1,A0,A0,A3,85.35,758.6,A1
A1274,A0,72.0,A0,A0,A0,A1,A0,A2,A1,A2,113.8,7845.8,A0
A1275,A0,8.0,A0,A1,A0,A0,A1,A0,A0,A2,49.55,393.45,A0
A1276,A0,20.0,A0,A2,A1,A2,A2,,A1,A1,20.65,417.5,A0
A1277,A0,3.0,A0,A2,A1,A2,A2,A0,A1,A1,20.85,60.65,A0
A1278,A0,53.0,A0,A0,A0,,A0,A0,A0,A3,103.85,5485.5,A1
A1279,A0,1.0,A1,A1,A0,A0,A1,A0,A1,A1,33.6,33.6,A0
A1280,A1,38.0,A0,A0,A2,A0,A0,,A0,A3,99.55,3734.25,A1
A1281,A0,2.0,A0,A1,A2,A0,A1,A0,A0,A3,44.5,90.05,A0
A1282,A1,1.0,A0,A0,A2,A0,A1,A0,A1,A1,69.55,69.55,A1
A1283,A1,6.0,A0,A0,A0,A1,A1,A0,A0,A1,94.05,518.75,A0
A1284,A0,26.0,A0,A1,A2,A1,A0,A1,A0,A0,82.0,2083.1,A0
A1285,A0,71.0,A0,A0,A0,A0,A0,A0,A0,A0,105.1,7548.1,A1
A1286,A0,6.0,A1,A1,A0,A0,A1,A0,A0,A0,30.5,208.7,A1
A1287,A1,6.0,A0,A0,A0,A0,A1,A0,A0,A3,90.1,521.3,A1
A1288,A1,51.0,A0,A0,A0,A0,A0,A0,A0,A3,93.8,4539.35,A0
A1289,A0,72.0,A1,A1,A0,A1,A0,A2,A0,A2,63.1,4685.55,A0
A1290,A1,72.0,A0,A2,A1,A2,A2,A2,A1,A0,25.0,1849.2,A0
A1291,A1,37.0,A0,A0,A2,A1,A1,A0,A1,A3,90.0,3371.75,A0
A1292,A1,58.0,A0,A0,A0,A0,A0,A2,A0,A0,109.1,6393.65,A0
A1293,A1,1.0,A0,A1,A2,A0,A1,,A0,A1,45.3,45.3,A1
A1294,A0,35.0,A0,A2,A1,A2,A2,A0,A1,A2,20.75,739.9,A0
A1295,A1,34.0,A0,A0,A0,A1,A0,A2,A0,A0,116.15,3946.9,A0
A1296,A0,10.0,A0,A0,A0,A0,A1,A0,A0,A2,80.7,788.8,A1
A1297,A0,1.0,A0,A2,A1,A2,A2,A0,A1,A1,20.6,20.6,A0
A1298,A0,29.0,A0,A0,A0,,A0,A0,A0,A2,101.45,2948.6,A0
A1299,A1,5.0,A0,A0,A2,A0,A1,A0,A1,A3,75.6,402.5,A0
A1300,A0,2.0,A0,A0,A2,A0,A1,A0,A1,A3,70.1,141.65,A0
A1301,A0,46.0,A1,A1,A2,A1,A1,,A1,A0,40.4,1842.7,A0
A1302,A0,56.0,A0,A2,A1,A2,A2,A2,A1,A2,24.15,1402.25,A0
A1303,A0,25.0,A0,A0,A0,A0,A1,A0,A0,A3,75.5,1901.05,A0
A1304,A1,47.0,A0,A1,A0,A1,A1,A0,A0,A0,67.45,3252.0,A0
A1305,A0,72.0,A0,A1,A0,A1,A1,A2,A0,A2,75.1,5336.35,A0
A1306,A1,37.0,A0,A0,A2,,A0,A0,A0,A3,99.5,3762.0,A1
A1307,A0,72.0,A0,A2,A1,A2,A2,A2,A1,A2,25.4,1809.35,A0
A1308,A1,51.0,A0,A0,A0,A1,A0,,A0,A3,111.5,5703.25,A0
A1309,A0,6.0,A0,A2,A1,A2,A2,A0,A1,A0,19.85,138.85,A0
A1310,A1,15.0,A0,A0,A2,,A0,A0,A1,A3,105.1,1582.75,A1
A1311,A1,2.0,A0,A1,A2,,A0,A0,A1,A3,60.85,111.4,A0
A1312,A0,5.0,A0,A0,A0,A0,A1,A0,A0,A3,80.15,385.0,A1
A1313,A1,7.0,A0,A1,A2,A0,A1,,A0,A2,50.3,355.1,A0
A1314,A0,72.0,A0,A0,A0,A1,A0,A2,A1,A0,109.7,7898.45,A0
A1315,A1,18.0,A0,A0,A2,A1,A0,A0,A0,A2,95.05,1679.4,A0
A1316,A0,72.0,A1,A1,A0,A1,A1,A2,A1,A2,42.1,2962.0,A0
A1317,A1,70.0,A0,A2,A1,A2,A2,A2,A1,A2,19.8,1378.75,A0
A1318,A0,1.0,A1,A1,A0,A0,A1,A0,A1,A3,30.2,30.2,A1
A1319,A1,58.0,A0,A2,A1,A2,A2,A2,A1,A0,24.35,1423.85,A0
A1320,A0,14.0,A0,A1,A0,A1,A0,A2,A1,A1,81.95,1181.75,A0
A1321,A1,70.0,A1,A1,A0,A1,A0,A1,A0,A2,58.4,4113.15,A0
A1322,A0,43.0,A0,A1,A2,A1,A0,A1,A0,A3,80.2,3581.6,A0
A1323,A0,8.0,A1,A1,A2,A1,A1,A0,A0,A3,29.4,221.9,A1
A1324,A0,1.0,A0,A1,A2,A0,A1,A0,A0,A3,50.15,50.15,A0
A1325,A1,34.0,A0,A1,A2,A0,A1,,A0,A2,60.85,2003.6,A0
A1326,A0,14.0,A0,A0,A0,A0,A0,A0,A0,A3,100.55,1415.55,A1
A1327,A1,20.0,A0,A0,A2,A0,A0,A1,A0,A2,91.0,1859.5,A0
A1328,A1,11.0,A0,A0,A2,A0,A0,A0,A0,A3,94.0,1078.9,A1
A1329,A0,33.0,A0,A0,A0,A0,A0,A1,A0,A3,93.55,3055.5,A0
A1330,A1,72.0,A0,A2,A1,,A2,,A0,A1,20.7,1482.3,A0
A1331,A1,66.0,A0,A0,A0,A1,A0,A1,A0,A3,104.9,6891.45,A0
A1332,A1,4.0,A0,A1,A2,,A1,,A1,A1,50.85,239.55,A1
A1333,A1,36.0,A0,A1,A0,A1,A0,A2,A0,A0,92.9,3379.25,A0
A1334,A0,31.0,A0,A1,A2,A1,A1,A0,A0,A3,55.25,1715.65,A1
A1335,A1,48.0,A0,A1,A2,A1,A1,A1,A0,A0,60.35,2896.4,A1
A1336,A1,42.0,A0,A0,A2,A0,A0,A0,A0,A3,94.2,4186.3,A1
A1337,A1,12.0,A0,A1,A0,A0,A1,A0,A0,A3,49.4,611.65,A0
A1338,A1,19.0,A0,A0,A2,A1,A0,A0,A1,A1,89.65,1761.05,A1
A1339,A1,4.0,A0,A2,A1,A2,A2,A0,A1,A1,20.85,62.9,A0
A1340,A1,70.0,A0,A0,A0,A1,A0,A2,A0,A0,115.15,8250.0,A0
A1341,A0,10.0,A0,A1,A2,A0,A1,A0,A0,A0,54.95,568.85,A0
A1342,A1,1.0,A0,A1,A2,A0,A0,A0,A0,A3,55.45,55.45,A0
A1343,A1,69.0,A1,A1,A0,A1,A1,A2,A1,A2,46.25,3121.4,A0
A1344,A1,24.0,A0,A2,A1,A2,A2,A1,A1,A0,20.4,482.8,A0
A1345,A1,63.0,A0,A1,A2,A0,A1,A2,A0,A2,50.65,3221.25,A0
A1346,A0,61.0,A0,A1,A0,A1,A0,A2,A0,A2,80.8,4860.85,A0
A1347,A1,16.0,A0,A0,A0,A0,A1,A0,A0,A0,79.95,1267.95,A0
A1348,A1,28.0,A0,A0,A2,A0,A1,A1,A0,A2,70.4,1992.2,A0
A1349,A0,1.0,A0,A0,A2,A0,A0,A0,A0,A3,90.85,90.85,A1
A1350,A0,62.0,A0,A2,A1,A2,A2,A2,A1,A2,19.85,1253.65,A0
A1351,A1,1.0,A0,A1,A0,A0,A1,A0,A0,A3,54.9,54.9,A1
A1352,A1,26.0,A1,A1,A2,A1,A0,A0,A0,A0,50.35,1277.5,A0
A1353,A1,65.0,A0,A2,A1,A2,A2,A2,A1,A2,26.5,1698.55,A0
A1354,A1,53.0,A0,A0,A0,A1,A0,,A0,A2,111.8,5809.75,A0
A1355,A0,71.0,A0,A1,A2,A1,A0,A2,A0,A0,70.85,4973.4,A0
A1356,A1,45.0,A0,unknown,A0,A0,A1,,A0,A0,89.3,4016.85,A1
A1357,A1,72.0,A0,A1,A0,A1,A0,A2,A0,A0,88.05,6425.65,A0
A1358,A1,8.0,A0,A1,A2,A0,A0,A0,A0,A3,68.55,564.35,A0
A1359,A0,46.0,A0,A1,A2,A1,A1,A1,A1,A1,56.9,2560.1,A0
A1360,A0,15.0,A0,A2,A1,A2,A2,A0,A0,A3,26.35,378.6,A0
A1361,A0,53.0,A0,A1,A2,A1,A0,A1,A0,A3,61.1,3357.9,A0
A1362,A1,11.0,A0,A0,A2,A0,A1,A0,A0,A3,82.9,880.05,A0
A1363,A0,24.0,A0,A0,A0,A0,A0,,A0,A2,99.65,2404.85,A0
A1364,A0,39.0,A1,A1,A2,A0,A1,A1,A0,A0,25.25,947.75,A0
A1365,A1,23.0,A0,A2,A1,A2,A2,A1,A0,A0,19.65,478.1,A0
A1366,A0,48.0,A0,A2,A1,A2,A2,,A1,A1,23.55,1173.35,A0
A1367,A0,4.0,A1,A1,A2,A0,A0,,A0,A3,44.55,174.3,A1
A1368,A1,58.0,A0,A0,A2,A0,A0,A0,A0,A3,95.3,5817.7,A0
A1369,A1,1.0,A0,A2,A1,A2,A2,A0,A1,A1,20.9,20.9,A0
A1370,A1,38.0,A0,A2,A1,A2,A2,A2,A1,A1,20.05,741.5,A0
A1371,A1,7.0,A0,A0,A0,A0,A1,A0,A0,A2,78.55,522.95,A0
A1372,A0,72.0,A0,A0,A0,A1,A0,A2,A1,A2,105.6,7581.5,A0
A1373,A1,70.0,A0,A1,A2,A1,A1,A2,A1,A0,65.3,4759.75,A1
A1374,A1,6.0,A0,A2,A1,A2,A2,A0,A1,A2,19.5,146.3,A1
A1375,A0,72.0,A0,A0,A0,A1,A0,A2,A0,A3,109.65,7880.25,A0
A1376,A1,72.0,A1,A1,A0,A1,A0,A2,A1,A2,65.7,4575.35,A0
A1377,A0,50.0,A0,A1,A0,A1,A0,A2,A0,A2,75.15,3822.45,A0
A1378,A0,25.0,A1,A1,A2,A1,A1,A1,A0,A0,38.1,970.4,A0
A1379,A1,59.0,A0,A2,A1,A2,A2,,A1,A1,20.35,1267.0,A0
A1380,A0,72.0,A0,A1,A0,A1,A0,A2,A0,A1,89.4,6376.55,A0
A1381,A1,43.0,A0,A0,A2,A1,A0,A0,A0,A2,99.3,4209.95,A0
A1382,A1,6.0,A0,A0,A0,A1,A0,A0,A0,A2,98.15,567.45,A1
A1383,A0,1.0,A0,A2,A1,A2,A2,A0,A1,A1,20.75,20.75,A0
A1384,A1,2.0,A0,A1,A0,A0,A1,A0,A1,A1,54.85,104.2,A1
A1385,A1,1.0,A0,A1,A2,A0,A1,A0,A0,A0,48.6,48.6,A1
A1386,A0,46.0,A0,A0,A2,A0,A1,A0,A1,A2,72.8,3249.4,A0
A1387,A1,12.0,A0,A1,A2,A1,A1,A0,A0,A1,61.65,713.75,A1
A1388,A1,28.0,A0,A1,A0,A0,A1,A1,A0,A3,59.9,1654.7,A0
A1389,A0,1.0,A0,A0,A2,A0,A1,A0,A0,A3,84.8,84.8,A1
A1390,A0,72.0,A0,A0,A0,A0,A0,A2,A0,A0,107.7,7919.8,A0
A1391,A0,27.0,A0,A2,A1,A2,A2,A2,A1,A0,19.7,509.3,A0
A1392,A1,65.0,A0,A0,A0,A1,A0,A0,A0,A2,108.8,7082.45,A0
A1393,A1,54.0,A1,A1,A2,A0,A0,A1,A1,A2,44.1,2369.7,A0
A1394,A1,5.0,A0,A0,A0,A0,A0,A0,A0,A3,96.25,512.45,A1
A1395,A1,66.0,A0,A0,A0,A1,A0,A0,A0,A3,105.2,6936.85,A0
A1396,A1,4.0,A0,A2,A1,A2,A2,A0,A1,A2,20.95,85.5,A1
A1397,A0,2.0,A0,A0,A0,A1,A0,A0,A0,A0,95.1,180.25,A1
A1398,A0,64.0,A0,A0,A0,A1,A0,A2,A0,A0,109.2,6741.15,A0
A1399,A1,52.0,A0,A2,A1,A2,A2,A2,A1,A2,20.1,1078.75,A0
